#번호	종류	자리수	예산	예시위치	JP	KO
41	map	1	51	/AWRD.MAP@144205	どうやら、カカルクランに\nもどってこれたようだな。%b	아무래도 카칼클랜에\n돌아온 모양이군.%b
42	map	1	39	/AWRD.MAP@144288	今度こそ、\nすべてに決着をつけようぜ！%b	이번에야말로\n모든 것에 결판을 내자!%b
43	map	1	39	/AWRD.MAP@144359	いったん、ここで\n態勢をととのえるか。%b	일단 여기서\n태세를 갖출까.%b
44	map	1	41	/AWRD.MAP@144430	ふぅ・・・。\nぎりぎりセーフだったな。%b%h	휴….\n아슬아슬하게 세이프였군.%b%h
45	map	1	37	/AWRD.MAP@144503	みんなも、\nちゃんとついて来てるな？%b	다들\n제대로 따라오고 있지?%b
46	map	1	41	/AWRD.MAP@144572	でも、\nこれからどうするかが問題だね。%b%h	하지만\n이제부터 어떻게 할지가 문제네.%b%h
47	map	1	91	/AWRD.MAP@144645	ハッキリとはわからないけど、\nボクたちの世界が\n大変なコトになっているのは\n確かだと思う。%b%h	확실히는 모르겠지만\n우리 세계가\n큰일이 났다는 건\n확실한 것 같아.%b%h
48	map	1	22	/AWRD.MAP@144768	急いでもどらなきゃ！%b	서둘러 돌아가야 해!%b
49	map	1	47	/AWRD.MAP@144822	そりゃあそうだが、\nでも、どうやって・・・？%b%h	그야 그렇지만\n대체 어떻게…?%b%h
50	map	1	37	/AWRD.MAP@144901	歩いて帰るってワケにゃ\nいかねぇぜ。%b	걸어서 돌아갈 수는\n없다고.%b
51	map	1	60	/AWRD.MAP@144970	『扉』をくぐるんだ。\nボクたちには、\nそれしか方法がないよ。%b	『문』을 지나는 거야.\n우리에겐\n그 방법밖에 없어.%b
52	map	1	14	/AWRD.MAP@145062	けどよ・・・%b	하지만…%b
53	map	5	2	/BT20.MAP@209021	！	
54	map	3	31	/DB00.MAP@14242	O4濂〆｢QAY｡EAU！AEAMbMAAAY｢Q｡= 	
55	map	7	3	/DB00.MAP@22301	｢ガ	
56	map	14	3	/DB00.MAP@36815	Y！	
57	map	1	540	/DB00.MAP@132415	l%V100　　　　　　試練の迷宮へようこそ\n \nバトラムの町の自治体よりお知らせします。\n \n下記にあげる条件が納得できない場合は、\n迷宮内に入らないようにしてください。%b %a１．パーティは６名まで！\n２．アイテムの持ち込み、宝物の持ち出し自由！\n３．モンスター達はお金をもっていません\n　　お金が必要な方は闘技場へ\n４．迷宮内でのレベルアップサービスはありません\n　　経験値は全て無効となります。\n　　ただし、技に関するスキルアップは可能です。%b %aなお、この迷宮内でのできごとに当方は一切の責任をもちませんのでご注意ください。\n \n　　バトラムの町の自治体%b	l%V100　　　　　　시련의 미궁에 어서 오세요\n \n바트람 마을 자치회에서 알려 드립니다.\n \n아래 조건에 납득할 수 없는 경우에는\n미궁에 들어가지 마십시오.%b %a１．파티는 ６명까지!\n２．아이템 반입, 보물 반출 자유!\n３．몬스터들은 돈을 갖고 있지 않습니다\n　　돈이 필요한 분은 투기장으로\n４．미궁 안에서는 레벨 업 서비스가 없습니다\n　　경험치는 모두 무효가 됩니다.\n　　단, 기술의 스킬 업은 가능합니다.%b %a아울러 이 미궁 안에서 일어난 일에 저희는 일절 책임을 지지 않으니 주의하십시오.\n \n　　바트람 마을 자치회%b
58	map	1	52	/DB00.MAP@133007	hん、なんだね。\nわたしに聞きたいことでもあるのかね？	h음, 무슨 일인가.\n나한테 묻고 싶은 거라도 있나?
59	map	5	30	/DB00.MAP@133060	まだ聞きたいことがあるのかね？	아직 물을 게 있나?
60	map	5	61	/DB00.MAP@133092	もう用は済んだのかね？\nまた何かあったら、たずねてきなさい。%b	볼일은 끝났나?\n또 무슨 일 있으면 찾아오게.%b
61	map	1	116	/DB00.MAP@133156	そういえば、ドラグーン城の方がさわがしくなっているようだ。\nまさか、ゲンユウサイの軍が\n攻めてきたのではあるまいな。%b	그러고 보니 드래군성 쪽이 소란스러운 모양이야.\n설마 겐유사이의 군대가\n쳐들어온 건 아니겠지.%b
62	map	1	71	/DB00.MAP@133276	ドラグーン城の話は聞いている。\nああ、この国はいったいどうなるんだ！？%b	드래군성 이야기는 들었네.\n아아, 이 나라는 대체 어떻게 되는 건가!?%b
63	map	1	102	/DB00.MAP@133348	そういえば、ずっと東にあるロッサム国には\nすごい魔導士がいるそうだ。\nいったい、どんな人物なのだろう。%b	그러고 보니 저 동쪽 로삼국에는\n굉장한 마도사가 있다더군.\n대체 어떤 인물일까.%b
64	map	1	134	/DB00.MAP@133452	最近になって、東にあるロッサム国の古代遺跡が、\n何者かにあらされたというウワサを耳にしたよ。\nなんだって、そんなことをするのだろうね？%b	최근 동쪽 로삼국의 고대 유적이\n누군가에게 파헤쳐졌다는 소문을 들었어.\n대체 왜 그런 짓을 하는 걸까?%b
65	map	1	127	/DB00.MAP@133588	北のクイーンズランド国の\n義賊の話を知っているかね？\n近ごろ、まずしい人たちを助ける盗賊が、\nたいそうもてはやされてるそうだよ。%b	북쪽 퀸즈랜드국의\n의적 이야기를 아나?\n요즘 가난한 사람들을 돕는 도적이\n무척 인기라더군.%b
66	map	1	130	/DB00.MAP@133716	そういえば北のクイーンズランド国の\n義賊を知っているかね？\nなんでも、\nゲンユウサイにケンカをふっかけてから\n現れなくなったそうだ。%b	그러고 보니 북쪽 퀸즈랜드국의\n의적을 아나?\n듣자 하니\n겐유사이에게 싸움을 걸고 나서\n모습을 감췄다더군.%b
67	map	1	114	/DB00.MAP@133848	南の港町オルトマでは、\n商船をおそう海賊になやまされているそうだ。\nわたしでは力になれんが、どうにかならんものか。%b	남쪽 항구 오르트마에서는\n상선을 습격하는 해적 때문에 골치라더군.\n나로선 힘이 못 되지만 어떻게 안 될까.%b
68	map	1	118	/DB00.MAP@133964	近ごろは、商船をおそう海賊がでなくなったと、\n南の港町オルトマに住む知人が言っていたよ。\n役人につかまったんだろうか。%b	요즘은 상선을 덮치는 해적이 안 나온다고\n남쪽 항구 오르트마에 사는 지인이 그러더군.\n관리에게 잡힌 걸까.%b
69	map	1	116	/DB00.MAP@134084	まったく、あちこちで問題が多発しているよ。\nそれもこれも、あのゲンユウサイのせいだろうね。\nどうにかならないものか。%b	정말이지 곳곳에서 문제가 끊이질 않아.\n이것도 저것도 다 그 겐유사이 탓이겠지.\n어떻게 안 될까.%b
70	map	1	108	/DB00.MAP@134204	きみたちは、世界中を旅しているのだろう？\nわたしよりも、きみたちの方が\nいろいろと知っているのではないかね？%b	자네들은 세계를 여행하고 있지?\n나보다 자네들이\n더 많이 알고 있지 않나?%b
71	map	2	24	/DB00.MAP@134348	ん、あたしに何か用かい？	어머, 무슨 볼일이에요?
72	map	4	40	/DB00.MAP@134376	おや、まだ何か聞きたいことがあるのかい？	어머, 또 뭔가 물어볼 게 있어요?
73	map	5	30	/DB00.MAP@134420	また話を聞きに来ておくれよ。%b	또 이야기 들으러 와요.%b
74	map	1	120	/DB00.MAP@134452	話と言っても、\nいまは北の山中の館にとらわれた娘のことだけが気がかりでね。\nすまないねぇ、話すことが見つからないんだよ。%b	이야기라 해도\n지금은 북쪽 산속 저택에 잡혀간 딸 생각뿐이라서요.\n미안해요, 할 이야기가 없네요.%b
75	map	1	122	/DB00.MAP@134576	あんた達、あちこち旅して回ってるんだってね。\n\n最近じゃブッソウなモンスターがうろついてるって言うから、気をつけるんだよ。%b	당신들, 여기저기 여행하며 다닌다면서요.\n\n요즘 험악한 몬스터가 어슬렁거린다니 조심해요.%b
76	map	1	386	/DB00.MAP@134700	おや・・・？　立てふだを見て来てくれたのかい？\n実は北の山中に、あやしい館があってね。\nそこのやつらが娘をさらって行っちまったんだよ。\nしかも、その館は高い山の上にあって\n人の足では近づけないものでね。\n娘の名は『メイ』って言うんだけど、\nどうか助けてやってくれないかい？\nムリにはたのめないけど心にとめといておくれよ。\n北の山中にある館だからね。\n\n・・・え～と、それでどんなご用だったかね？%b	어머…? 팻말을 보고 와 준 거예요?\n실은 북쪽 산속에 수상한 저택이 있는데\n거기 놈들이 딸을 잡아가 버렸어요.\n게다가 그 저택은 높은 산 위에 있어서\n사람 발로는 다가갈 수가 없어요.\n딸 이름은 『메이』라고 하는데\n부디 구해 주지 않겠어요?\n억지로 부탁할 순 없지만 기억해 둬요.\n북쪽 산속에 있는 저택이에요.\n\n…음, 그래서 무슨 일로 오셨죠?%b
77	map	1	168	/DB00.MAP@135088	おや・・・あんたらだったのかい？\nどうだい、さらわれた娘は助かりそうかい？\nムリなら仕方ないけど、\n力になってくれるのなら、\n北の山中にあるあやしげな館へ向かっておくれ。%b	어머…당신들이었어요?\n어때요, 잡혀간 딸은 구할 수 있을 것 같아요?\n무리라면 어쩔 수 없지만\n힘이 되어 준다면\n북쪽 산속의 수상한 저택으로 가 줘요.%b
78	map	1	283	/DB00.MAP@135260	おや・・・あんたらだったのかい？\nん・・・？　あんたが背中におぶってるのは・・・\nメイ！!　ああ、助け出してくれたんだね！\nありがとうよ、あんたらにたのんでよかったよ。\nすまないけど、娘の様子が気になるから....\nいったん引き取ってくれないかい？\n目をさましたら、あらためて礼をするからさ。%b	어머…당신들이었어요?\n응…? 당신이 등에 업고 있는 건…\n메이!! 아아, 구해 줬군요!\n고마워요, 당신들한테 부탁하길 잘했어요.\n미안하지만 딸이 걱정되니까….\n일단 돌아가 주지 않겠어요?\n깨어나면 다시 사례할게요.%b
79	map	1	55	/DB00.MAP@135592	やぁ、いらっしゃい。\nこの町のことなら何でも聞いてくれ。	야, 어서 오게.\n이 마을 일이라면 뭐든 물어보게.
80	map	1	28	/DB00.MAP@135648	他に聞きたいことはあるかい？	그 밖에 물어볼 건 있나?
81	map	1	78	/DB00.MAP@135680	もう行ってしまうのか？\n冒険者ってのは先を急ぎすぎるよな。\nまたよってくれよ。%b	벌써 가는 건가?\n모험가란 너무 서두른다니까.\n또 들르게.%b
82	map	2	12	/DB00.MAP@135760	バトラムの町	바트람 마을
83	map	1	10	/DB00.MAP@135796	ランキング	랭킹
84	map	2	8	/DB00.MAP@135808	店を出る	나가기
85	map	1	71	/DB00.MAP@135820	この町は、もともと試練の迷宮が先にあって\nその周りに作られた町なんだ。%b	이 마을은 원래 시련의 미궁이 먼저 있었고\n그 주위에 만들어진 마을이야.%b
86	map	1	178	/DB00.MAP@135892	この迷宮は昔、\nものずきな魔導士が作り上げたものらしいんだが\nくわしいことはだれも知らないんだ。%b %aただ、この迷宮に入っていった冒険者で\n最下層まで行った者がいないのは確かだな。%b	이 미궁은 옛날에\n별난 마도사가 만든 것이라는데\n자세한 건 아무도 몰라.%b %a다만, 이 미궁에 들어간 모험가 중에\n최하층까지 간 자가 없는 건 확실해.%b
87	map	1	200	/DB00.MAP@136072	どうやってここまで来るのかは知らないが、\nけっこうな人数がやって来るよ。\n私の店もそれなりににぎわっているしね。%b %a迷宮にチャレンジしている者たちのランキングが\nはりだしてあるから見てみちゃどうだい。%b	어떻게 여기까지 오는지는 모르지만\n꽤 많은 사람이 찾아와.\n우리 가게도 나름 붐비고 있고.%b %a미궁에 도전하는 자들의 랭킹을\n붙여 뒀으니 한번 보는 게 어때.%b
88	map	1	191	/DB00.MAP@136276	%V100ランク　パーティ名　　リーダー　　到達ポイント\n　１　マラハリの風　　マ・ドゴイ　　地下２Ｆ\n　２　虹の私兵団　　　リーン　　　　地下１Ｆ\n　３　紅の鷹　　　　　サイード　　　地下１Ｆ%V0%b	%V100랭크　파티명　　　　　리더　　　　　도달 지점\n　１　마라하리의 바람 마・도고이　　지하 2층\n　２　무지개 사병단　 린　　　　　　지하 1층\n　３　진홍의 매　　　 사이드　　　　지하 1층%V0%b
89	map	1	33	/DB00.MAP@136523	Lよう、らっしゃい。\n何にするね？\n	L어이, 어서 와.\n뭘로 하겠나?\n
90	map	6	42	/DB00.MAP@136560	なんだ、やめんのか。\nほかに用はあるかい？\n	뭐야, 안 사나.\n다른 볼일은 있나?\n
91	map	6	26	/DB00.MAP@136604	武器を買ってくれんのかい。	무기를 안 사 주는 건가.
92	map	6	18	/DB00.MAP@136632	売りに来たのかい。	팔러 왔나.
93	map	6	18	/DB00.MAP@136652	また来てくれよ。%b	또 와 주게.%b
94	map	6	20	/DB00.MAP@136672	さて、どれを買うね？	자, 뭘 사겠나?
95	map	6	20	/DB00.MAP@136696	さて、どれを売るね？	자, 뭘 팔겠나?
96	map	6	36	/DB00.MAP@136720	売れるものなんか持ってないようだが。	팔 만한 물건이 없는 것 같은데.
97	map	6	24	/DB00.MAP@136760	「%nS」だな。\n買うかい？	「%nS」군.\n사겠나?
98	map	6	55	/DB00.MAP@136788	おいおい、そんなに持てねぇだろ。\nやめとけ、やめとけ。%b	이봐, 그렇게 많이는 못 들잖아.\n관둬, 관둬.%b
99	map	6	76	/DB00.MAP@136844	金が足りないようじゃねぇか。\nこっちも商売だからな。\n正札でしか売らねぇよ。%b	돈이 모자라잖아.\n이쪽도 장사라서 말이야.\n정가로만 판다고.%b
100	map	12	33	/DB00.MAP@136924	まいどあり。\nほかに何かあるかい？	고맙네.\n다른 건 없나?
101	map	6	30	/DB00.MAP@136960	「%nS」を\n売ってくれるのかい？	「%nS」\n팔아 주겠나?
102	map	1	41	/DB00.MAP@137083	ｨいらっしゃい。\nゆっくり見てっておくれ。\n	ｨ어서 와요.\n천천히 보고 가요.\n
103	map	3	44	/DB00.MAP@137128	なんだ、やめるのかい。\nほかに何かあるかい？\n	뭐야, 안 사요?\n다른 볼일 있어요?\n
104	map	3	24	/DB00.MAP@137176	ゆっくり見てっておくれ。	천천히 보고 가요.
105	map	1	32	/DB00.MAP@137204	おやおや、何か売りに来たのかい？	어머어머, 뭔가 팔러 왔어요?
106	map	3	35	/DB00.MAP@137240	そうかい。\nまた、よっておくれよ。%b	그래요.\n또 들러 줘요.%b
107	map	7	26	/DB00.MAP@137276	どれを買ってくれるんだい？	어느 걸 사 줄 거예요?
108	map	7	26	/DB00.MAP@137304	どれを売ってくれるんだい？	어느 걸 팔 거예요?
109	map	1	38	/DB00.MAP@137332	おやおや、何も売るものがないようだね？	어머어머, 팔 물건이 없는 것 같네요?
110	map	3	21	/DB00.MAP@137372	「%nS」でいいのかい？	「%nS」 맞아요?
111	map	3	69	/DB00.MAP@137396	おやまぁ、そんなに持てないだろう？\n荷物が軽くなったら、またおいで。%b	어머나, 그렇게 많이는 못 들잖아요?\n짐이 가벼워지면 또 와요.%b
112	map	3	55	/DB00.MAP@137468	おやおや\nお金がないんじゃ、売るわけにはいかないねぇ。%b	어머어머\n돈이 없으면 팔 수가 없네요.%b
113	map	6	35	/DB00.MAP@137524	ありがとうよ。\nほかに何かあるかい？	고마워요.\n다른 건 없어요?
114	map	3	35	/DB00.MAP@137560	「%nS」を売っちまってもいいんだね？	「%nS」 정말 팔아도 되죠?
115	map	11	14	/DB10.MAP@179395	外に出ますか？	나갈까요?
116	map	14	4	/DB10.MAP@179410	出る	예
117	map	14	6	/DB10.MAP@179415	出ない	아니오
118	map	18	12	/DB10.MAP@179432	下りますか？	내려갈까요?
119	map	19	6	/DB10.MAP@179445	下りる	예
120	map	19	8	/DB10.MAP@179452	下りない	아니오
121	map	1	13	/DB10.MAP@179635	なんか・・・\n	뭔가…\n
122	map	1	37	/DB10.MAP@179649	おしつぶされそうな\n霊気を感じるぜ。%b	짓눌릴 것 같은\n영기가 느껴져.%b
123	map	1	41	/DB10.MAP@179718	ともかく、\n最下層を目指せばいいんだな。%b	어쨌든\n최하층을 목표로 하면 되겠군.%b
124	map	20	12	/DB20.MAP@179743	上りますか？	올라갈까요?
125	map	23	4	/DB20.MAP@179756	上る	예
126	map	23	8	/DB20.MAP@179761	上らない	아니오
127	map	1	40	/DB40.MAP@163773	まだ奥があるのか。うわさ通りの迷宮だな%b	아직 안쪽이 있나. 소문대로의 미궁이군%b
128	map	1	58	/DB40.MAP@163845	オレたちもまだまだだな。こんな迷宮は楽勝だと思ったんだが%b	우리도 아직 멀었군. 이런 미궁쯤 쉬울 줄 알았는데%b
129	map	1	64	/DB40.MAP@163935	やっとここまで来たわ。なんとしても宝を持って帰らなくては・・・%b	겨우 여기까지 왔어. 무슨 일이 있어도 보물을 갖고 돌아가야 해…%b
130	map	1	34	/DB40.MAP@164031	ぼっちゃま。じいはがんばりますぞ%b	도련님. 이 할아범은 힘내겠습니다%b
131	map	1	14	/DB40.MAP@164097	・・・・・・%b	……%b
132	map	1	38	/DB40.MAP@164143	やだまだあるのお。あきてきちゃった。%b	싫다, 아직도 있어. 질려 버렸어.%b
133	map	1	40	/DB40.MAP@164213	フッ。このオレ様は簡単にはやられないぜ%b	훗. 이 몸은 쉽게 당하지 않는다고%b
134	map	1	48	/DB40.MAP@164285	ほっほっほっ。ここを作った魔導士もたちが悪いの%b	허허허. 여길 만든 마도사도 고약하구먼%b
135	map	1	28	/DB40.MAP@164365	くそっ、まだオレはやれるぜ%b	젠장, 난 아직 할 수 있어%b
136	map	1	28	/DB40.MAP@164426	ちっ、まだ奥がありやがるぜ%b	칫, 아직 안쪽이 있잖아%b
137	map	1	50	/DB40.MAP@164487	お宝だよ、お・た・か・ら。お宝が私を呼んでいるよ%b	보물이야, 보・물. 보물이 날 부르고 있어%b
138	map	1	17	/DB40.MAP@164570	ウホウホホウホ？\n	우호우호호우호?\n
139	map	1	30	/DB40.MAP@164588	（↑よく解っていないらしい）%b	（↑잘 모르는 듯하다）%b
140	map	1	45	/DC00.MAP@97825	ここまで来れば一安心だな。\nケガも治ったし。%b	여기까지 오면 안심이군.\n상처도 나았고.%b
141	map	1	60	/DC00.MAP@97902	よし、みんな。\n力を合わせて、\n今度こそアヤヒメを倒すんだ！%b	좋아, 다들.\n힘을 합쳐서\n이번엔 아야히메를 해치우자!%b
142	map	1	18	/DC0B.MAP@99804	ＺＺＺＺＺ・・・%b	ＺＺＺＺＺ…%b
143	map	3	49	/DC0B.MAP@99855	どれどれ・・・%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	어디 보자…%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
144	map	1	101	/DC0B.MAP@99905	なんでぇなんでぇ、\nアヤヒメ様のおいいつけが\n守れてねぇじゃねぇか。%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	뭐야 뭐야,\n아야히메 님의 분부를\n못 지켰잖아.%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
145	map	1	45	/DC0B.MAP@100007	とっとと、上にもどって、\nやり直すこったな。%b	냉큼 위로 돌아가서\n다시 해 보라고.%b
146	map	2	114	/DC0B.MAP@100145	ちっ、もう終わりかよ。\nつまんねえな。\nもっと楽しませてくれるかと\n思ったのによ。%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	칫, 벌써 끝이냐.\n시시하군.\n좀 더 즐겁게 해 줄 줄\n알았는데 말이야.%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
147	map	1	66	/DC0B.MAP@100260	・・・・・・ん？\nちょっと待て！%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	……응?\n잠깐 기다려!%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
148	map	1	109	/DC0B.MAP@100327	おめぇが持ってるそれは、\n酒じゃねぇか！\nンなもの持ってるってぇコトは・・・%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	네놈이 들고 있는 그건\n술 아니냐!\n그런 걸 들고 있다는 건…%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
149	map	1	128	/DC0B.MAP@100437	・・・・・・そうっか！\nアヤヒメ様がオレのコトを思って、\nさしいれをよこして\nくだすったんだな。%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	……그렇구나!\n아야히메 님이 날 생각해서\n위문품을 보내\n주셨구나.%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
150	map	1	28	/DC0B.MAP@100566	くぅぅぅ～っ、ありがてぇ。%b	크으으～, 고맙구먼.%b
151	map	1	56	/DC0B.MAP@100626	おいおい、\nそれは、オレが\n見つけてきてやったんだぜ。%b%h	이봐 이봐,\n그건 내가\n찾아다 준 거라고.%b%h
152	map	1	62	/DC0B.MAP@100714	酒を持ってきたら、\n何でもたのみを聞いてくれるって\n言ったろ？%b	술을 가져오면\n무슨 부탁이든 들어준다고\n했잖아?%b
153	map	1	76	/DC0B.MAP@100809	・・・ああん？\nンなこと言ったっけかぁ！？%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	…뭐어?\n내가 그런 말을 했던가!?%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
154	map	1	119	/DC0B.MAP@100886	『なんだって聞いてやる』\nって言ったおぼえはあるが、\nたのみを聞いてやるとまではなぁ。%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	『뭐든지 들어 주마』\n라고 한 기억은 있지만\n부탁을 들어준다고까진 안 했지.%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
155	map	1	62	/DC0B.MAP@101006	なんなら、\n過去にさかのぼってオレのセリフを\n調べてみるかい？%b	뭣하면\n과거로 돌아가서 내 대사를\n확인해 보든가?%b
156	map	1	26	/DC0B.MAP@101100	そ、そんな・・・・・・！%b	그, 그런…!%b
157	map	1	33	/DC0B.MAP@101158	ま、待てよ！\n勝手に何を・・・！%b	자, 잠깐!\n멋대로 무슨…!%b
158	map	1	66	/DC0B.MAP@101224	うるせぇ！\nガキはすっこんでな！%b%h%H%m1%V100［%m0看守%m1］%V0%m0\n	시끄러!\n꼬맹이는 빠져 있어!%b%h%H%m1%V100［%m0간수%m1］%V0%m0\n
159	map	1	64	/DC0B.MAP@101291	・・・おおおぅっ、\nこれは禁断の名酒\n「竜殺し」じゃねぇかい！%b%h	…오오오,\n이건 금단의 명주\n「용살자」 아니냐!%b%h
160	map	1	14	/DC0B.MAP@101356	\n\nぐびぐび%b%h	\n\n꿀꺽꿀꺽%b%h
161	map	1	26	/DC0B.MAP@101403	くはぁーっ、きくぜぃ！%b%h	크하～, 끝내주는군!%b%h
162	map	1	18	/DC0B.MAP@101430	\n\nぐびんぐびん%b%h	\n\n꿀꺽꿀꺽꿀꺽%b%h
163	map	1	43	/DC0B.MAP@101481	ぶふふぅーっ、\nかーっ、きもちいいーっ！%b%h	푸하하～,\n캬～, 기분 좋다～!%b%h
164	map	1	22	/DC0B.MAP@101525	\n\nぐびどくぐびどく%b%h	\n\n꿀꺽꿀꺽꿀꺽꿀꺽%b%h
